CALR	TAP1
CALR	TAP2
CALR	TSHR
CAMP	EGFR
CAMP	FPR2
CAMP	IGF1R
CAMP	P2RX7
CCK	CCKAR
CCK	CCKBR
CCK	CNR1
CCK	MAPK1
CCK	ODC1
CCK	PAK2
CCK	PRKCQ
CCK	PRKD1
CCL1	ACKR4
CCL1	CCR1
CCL1	CCR2
CCL1	CCR3
CCL1	CCR4
CCL1	CCR5
CCL1	CCR6
CCL1	CCR7
CCL1	CCR8
CCL1	CCR9
CCL1	CCR10
CCL1	CX3CR1
CCL1	CXCR1
CCL1	CXCR2
CCL1	CXCR3
CCL1	CXCR4
CCL1	CXCR5
CCL1	CXCR6
CCL1	XCR1
CCL2	ACKR1
CCL2	ACKR2
CCL2	ACKR4
CCL2	CCR1
CCL2	CCR2
CCL2	CCR3
CCL2	CCR4
CCL2	CCR5
CCL2	CCR6
CCL2	CCR7
CCL2	CCR8
CCL2	CCR9
CCL2	CCR10
CCL2	CX3CR1
CCL2	CXCR1
CCL2	CXCR2
CCL2	CXCR3
CCL2	CXCR4
CCL2	CXCR5
CCL2	CXCR6
CCL2	XCR1
CCL3L1	ACKR2
CCL3L1	CCR1
CCL3L1	CCR3
CCL3L1	CCR5
CCL3L3	ACKR2
CCL3L3	CCR5
CCL3	ACKR2
CCL3	CCR1
CCL3	CCR2
CCL3	CCR3
CCL3	CCR4
CCL3	CCR5
CCL3	CCR6
CCL3	CCR7
CCL3	CCR8
CCL3	CCR9
CCL3	CCR10
CCL3	CX3CR1
CCL3	CXCR1
CCL3	CXCR2
CCL3	CXCR3
CCL3	CXCR4
CCL3	CXCR5
CCL3	CXCR6
CCL3	XCR1
CCL4L1	CCR1
CCL4L1	CCR3
CCL4L1	CCR5
CCL4L2	CCR1
CCL4L2	CCR5
CCL4	ACKR2
CCL4	ADRB2
CCL4	AGTR2
CCL4	CCR1
CCL4	CCR2
CCL4	CCR3
CCL4	CCR4
CCL4	CCR5
CCL4	CCR6
CCL4	CCR7
CCL4	CCR8
CCL4	CCR9
CCL4	CCR10
CCL4	CFTR
CCL4	CHRM1
CCL4	CNR2
CCL4	CX3CR1
CCL4	CXCR1
